Lbol	tbol
0.002264644	1.41E+08
0.002208005	1.46E+08
0.00218273	1.49E+08
0.002157744	151336958
0.002103778	1.57E+08
0.002079697	1.60E+08
0.002051162	1.62E+08
0.002004472	1.68E+08
0.00197697	1.72E+08
0.001954339	1.75E+08
0.001927525	1.78E+08
0.001883649	1.85E+08
0.001857804	1.88E+08
0.001836538	1.92E+08
0.00181134	1.96E+08
0.001790606	1.99E+08
0.001745822	2.08E+08
0.001725838	2.12E+08
0.001702159	2.16E+08
0.001682674	2.21E+08
0.001659587	225272926
0.00164059	2.30E+08
0.00161808	2.35E+08
0.001599558	2.40E+08
0.001577611	2.46E+08
0.001559553	2.51E+08
0.001538155	2.57E+08
0.001520548	2.63E+08
0.001499685	2.70E+08
0.001482518	2.77E+08
0.001462177	2.84E+08
0.00144544	2.91E+08
0.001425608	3.00E+08
0.001409289	3.08E+08
0.001393157	3.17E+08
0.001374042	3.27E+08
0.001361445	3.36E+08
0.00134586	3.46E+08
0.001333521	3.56E+08
0.001321296	3.65E+08
0.001309182	3.75E+08
0.001297179	3.86E+08
0.00128825	3.96E+08
0.001279381	4.06E+08
0.001270574	4.17E+08
0.001264736	4.27E+08
0.001258925	4.38E+08
0.001250259	4.49E+08
0.001244515	4.60E+08
0.001238797	4.70E+08
0.001235947	4.81E+08
0.001230269	4.92E+08
0.001227439	503406710
0.0012218	5.17E+08
0.00121899	5.33E+08
0.001213389	5.52E+08
0.001207814	5.75E+08
0.001205036	602121313
0.001202264	6.34E+08
0.001196741	6.65E+08
0.001196741	6.97E+08
0.001193988	7.29E+08
0.001191242	7.61E+08
0.001191242	7.92E+08
0.001191242	823938886
0.001191242	8.56E+08
0.001188502	8.87E+08
0.001188502	9.19E+08
0.001188502	9.51E+08
0.001188502	9.82E+08
0.001188502	1.01E+09
0.001188502	1.05E+09
0.001188502	1.08E+09
0.001188502	1.11E+09
0.001188502	1.14E+09
0.001188502	1.17E+09
0.001188502	1.20E+09
0.001188502	1.24E+09
0.001188502	1.27E+09
0.001188502	1.30E+09
0.001188502	1.33E+09
0.001188502	1.36E+09
0.001188502	1.39E+09
0.001188502	1.43E+09
0.001188502	1.46E+09
0.001188502	1.49E+09
0.001188502	1.52E+09
0.001188502	1.55E+09
0.001188502	1.58E+09
0.001188502	1.62E+09
0.001188502	1.65E+09
0.001188502	1.68E+09
0.001188502	1.71E+09
0.001188502	1.74E+09
0.001188502	1.77E+09
0.001188502	1.81E+09
0.001188502	1.84E+09
0.001188502	1.87E+09
0.001188502	1.90E+09
0.001188502	1.93E+09
0.001188502	1.96E+09
0.001188502	2.00E+09
0.001188502	2.03E+09
0.001188502	2.06E+09
0.001188502	2.09E+09
0.001188502	2.12E+09
0.001188502	2.15E+09
0.001188502	2.19E+09
0.001188502	2.22E+09
0.001188502	2.25E+09
0.001188502	2.28E+09
0.001188502	2.31E+09
0.001188502	2.34E+09
0.001188502	2.38E+09
0.001188502	2.41E+09
0.001188502	2.44E+09
0.001188502	2.47E+09
0.001188502	2.50E+09
0.001188502	2.54E+09
0.001188502	2.57E+09
0.001188502	2.60E+09
0.001188502	2.63E+09
0.001188502	2.66E+09
0.001188502	2.69E+09
0.001188502	2.73E+09
0.001188502	2.76E+09
0.001188502	2.79E+09
0.001188502	2.82E+09
0.001188502	2.85E+09
0.001188502	2.88E+09
0.001188502	2.92E+09
0.001188502	2.95E+09
0.001188502	2.98E+09
0.001188502	3.04E+09
0.001188502	3.11E+09
0.001188502	3.17E+09
0.001188502	3.23E+09
0.001188502	3.33E+09
0.001188502	3.39E+09
0.001188502	3.49E+09
0.001188502	3.55E+09
0.001191242	3.64E+09
0.001191242	3.71E+09
0.001191242	3.80E+09
0.001191242	3.90E+09
0.001191242	3.99E+09
0.001191242	4.09E+09
0.001191242	4.18E+09
0.001191242	4.28E+09
0.001191242	4.37E+09
0.001191242	4.47E+09
0.001191242	4.56E+09
0.001191242	4.69E+09
0.001191242	4.78E+09
0.001191242	4.91E+09
0.001191242	5.01E+09
0.001191242	5.13E+09
0.001191242	5.26E+09
0.001191242	5.39E+09
0.001191242	5.51E+09
0.001191242	5.64E+09
0.001191242	5.77E+09
0.001191242	5.89E+09
0.001191242	6.02E+09
0.001191242	6.18E+09
0.001191242	6.31E+09
0.001191242	6.46E+09
0.001191242	6.62E+09
0.001191242	6.75E+09
0.001191242	6.91E+09
0.001191242	7.07E+09
0.001191242	7.26E+09
0.001191242	7.42E+09
0.001193988	7.57E+09
0.001193988	7.76E+09
0.001193988	7.95E+09
0.001193988	8.11E+09
0.001193988	8.30E+09
0.001193988	8.49E+09
0.001193988	8.71E+09
0.001193988	8.90E+09
0.001193988	9.13E+09
0.001193988	9.32E+09
0.001193988	9.54E+09
0.001193988	9.76E+09
0.001193988	9.98E+09
