time_yr	Mantle_T	Surf_T	PO2	Patm
1.0	3000.0	2999.0	7.175907645076403e-57	1207533.105346641
1.000000000180733	3000.0	2998.9999985294976	7.17592893558095e-57	1207533.1053466408
1.000000000361466	3000.0	2998.999997058995	7.175950226136631e-57	1207533.1053466403
1.0000000021687951	2999.999999999999	2998.9999823539724	7.17616313448628e-57	1207533.1053466443
1.0000000039761245	2999.999999999998	2998.9999676489497	7.176376047915198e-57	1207533.1053466497
1.0000000220494176	2999.9999999999886	2998.999820598814	7.178505461556327e-57	1207533.1053466944
1.0000000401227105	2999.999999999979	2998.9996735487744	7.180635383176542e-57	1207533.1053467398
1.000000220855641	2999.9999999998854	2998.998203056849	7.201962558381328e-57	1207533.1053471959
1.0000004015885717	2999.9999999997917	2998.9967325745693	7.223340632343252e-57	1207533.1053476548
1.000002208917878	2999.9999999988377	2998.9820286009244	7.439941056713681e-57	1207533.1053523566
1.0000040162471842	2999.9999999978663	2998.9673255971434	7.661733055635261e-57	1207533.105357211
1.0000220895402459	2999.999999986521	2998.820382463064	1.0186339519328068e-56	1207533.1054199245
1.0000401628333075	2999.999999973256	2998.6735411134723	1.3340375484081382e-56	1207533.1054992925
1.0001481170691084	2999.9999998501844	2997.798701824292	5.241159800095741e-56	1207533.1063537907
1.0002560713049093	2999.999999644103	2996.928088001822	1.5400914391161929e-55	1207533.107928653
1.0003640255407102	2999.999999345009	2996.0621080629967	3.748095601477925e-55	1207533.1103106767
1.000709313398028	2999.999997692366	2993.3261646268706	3.086128252057866e-54	1207533.1239694185
1.0010546012553458	2999.9999948309946	2990.6475967126066	1.365828216188103e-53	1207533.1481175313
1.0013998891126636	2999.999990636714	2988.031042226872	4.314623643650902e-53	1207533.1838326724
1.0017451769699817	2999.9999850322215	2985.4792483523647	1.102370730790374e-52	1207533.2317856657
1.0021692105288644	2999.9999761466793	2982.436574398366	2.86955736865098e-52	1207533.3080559534
1.0025932440877472	2999.999964989235	2979.4963396105786	6.420354108644019e-52	1207533.4040418703
1.00301727764663	2999.9999515205104	2976.659589129477	1.2869172813415579e-51	1207533.5200851713
1.0034413112055127	2999.9999357246043	2973.9264464739313	2.3728860521970954e-51	1207533.656323841
1.0040918564053676	2999.999906984264	2969.932645971727	5.364861746404307e-51	1207533.9044467476
1.0047424016052222	2999.9998728528954	2966.176359762715	1.083740919614564e-50	1207534.1993532793
1.0052098652246304	2999.999845054644	2963.620832701068	1.7020431821352903e-50	1207534.4396629955
1.0056773288440386	2999.9998145903187	2961.181873887016	2.576745053942375e-50	1207534.7031090844
1.0061447924634468	2999.9997815271695	2958.8562566231194	3.781182509426204e-50	1207534.9891079853
1.0071824953991646	2999.99969921273	2954.081658509838	8.089424232840177e-50	1207535.7013843693
1.0082201983348824	2999.999605311942	2949.8092772286614	1.5678361878314917e-49	1207536.5142084803
1.0092579012706	2999.999500745112	2945.9976413260983	2.816137249970329e-49	1207537.4195941372
1.0102956042063178	2999.99938644373	2942.605393381652	4.7620379658962885e-49	1207538.4094581245
1.0120067617514152	2999.99917906726	2937.823848429256	1.0214205085359597e-48	1207540.2057063356
1.0130660690112216	2999.999040333485	2935.3077728426524	1.556000374201035e-48	1207541.4075583422
1.0141253762710283	2999.9988946688945	2933.0884171379175	2.295492789357889e-48	1207542.6695587663
1.015184683530835	2999.9987428221452	2931.133451751245	3.294421738916399e-48	1207543.9852109342
1.0162439907906413	2999.998585479831	2929.4132809723533	4.616394531226288e-48	1207545.3485567586
1.0192152360659865	2999.9981199233853	2925.622131160169	1.0716957730683202e-47	1207549.3828651835
1.0221864813413317	2999.9976270924444	2922.993174392329	2.2076479941438396e-47	1207553.653889758
1.023954032026293	2999.9973243980166	2921.8345209567915	3.2472724167697607e-47	1207556.277258021
1.025721582711254	2999.997016278759	2920.906712240002	4.648563649245811e-47	1207558.9477136144
1.027489133396215	2999.996703809599	2920.163889709149	6.499502488599394e-47	1207561.6559284201
1.0292566840811763	2999.996387850781	2919.569424316093	8.901554756711357e-47	1207564.39443731
1.0310242347661374	2999.9960690906837	2919.0940435236625	1.1970683733257605e-46	1207567.1572665758
1.0329094337046343	2999.995726648306	2918.691835158677	1.6127668682548057e-46	1207570.1253983167
1.0347946326431312	2999.9953821895697	2918.375334882774	2.1373567970028904e-46	1207573.1110404131
1.0366798315816281	2999.9950361456504	2918.12620680211	2.7911511219388794e-46	1207576.1104511165
1.038565030520125	2999.994688854794	2917.9300765012545	3.596888908241831e-46	1207579.1206950736
1.040450229458622	2999.9943405812196	2917.7757231992287	4.579879299401355e-46	1207582.1394793915
1.042335428397119	2999.993991533218	2917.6543014217027	5.768146246432037e-46	1207585.1649964936
1.0460178657027566	2999.9933080772375	2917.4871577538847	8.801460871461383e-46	1207591.0891842651
1.0487254088801021	2999.9928045912834	2917.4055137874693	1.1760046626005875e-45	1207595.4534335937
1.0514329520574475	2999.992300553106	2917.347396899662	1.5470263706740113e-45	1207599.8225002703
1.054140495234793	2999.99179612092	2917.3060951450057	2.0068330173511542e-45	1207604.1950112542
1.0568480384121384	2999.991291407384	2917.2768291712046	2.57062944707559e-45	1207608.569988844
1.059555581589484	2999.9907864958273	2917.256059912035	3.2552950825598166e-45	1207612.9467098883
1.0622631247668293	2999.990281446379	2917.2412320111785	4.079475933236318e-45	1207617.324652552
1.0662802829765774	2999.989531941455	2917.226502246937	5.603739660451582e-45	1207623.8216671387
1.0702974411863253	2999.9887823078	2917.2174301282207	7.555672830237311e-45	1207630.3198537847
